id,text,emoji
0,No object is so beautiful that under certain conditions it will not look ugly Oscar Wilde ↺ RT  …,:red_heart:
40,Shoutout to for my new AVI  ️,:smiling_face:
80,I love Goblin I cry a lot too but is so beautiful Dont stop watch and buy more tissues box,:rolling_on_the_floor_laughing:
120,a fool I fuck wit this tho  🏽  🏽,:face_with_tears_of_joy:
120,a fool I fuck wit this tho  🏽  🏽,:OK_hand:
120,a fool I fuck wit this tho  🏽  🏽,:OK_hand:
1,Cant expect different results doing the same thingdoing stuff different from now on  🏻 ‍  ️,:person_shrugging:
1,Cant expect different results doing the same thingdoing stuff different from now on  🏻 ‍  ️,:female_sign:
41,Kanye amp Cudi album might actually be my favorite,:smiling_face_with_heart-eyes:
81,Idk wtf imma do,:face_with_tears_of_joy:
121,I see what u are doing here,:face_with_tears_of_joy:
2,“ Lets go Marcus ” “ Shiiit where we goin Home ” Marcus Peters,:face_with_tears_of_joy:
42,Kicking off this musical year with a magical single  ft amp httpst …,:sparkles:
82,RT Oasis International Education NewOasisEdu  For Taxi 7034454450,:backhand_index_pointing_right:
122,Follow everyone that likes and retweets this Follow  FOLLOW ME TURN MY NOTIFICATION ON TO …,:backhand_index_pointing_right:
3,Asahd really is a grown man in the body of a 1 year old,:face_with_tears_of_joy:
43,I met last night and Im just,:weary_face:
83,All I have been saying fam Na money be fine bobo,:weary_face:
123,Retweet if you still call Marathons Marathon,:rolling_on_the_floor_laughing:
4,Yoongi Tweet Hello Im Min fell on Butt What the  Min,:face_with_tears_of_joy:
44,EXO successfully closed their EXO PLANET The EℓyXiOn – in BANGKOK concert  EXO enthralled fans with amazing perform …,:sparkles:
84,Luz es luz peace and love  ️,:red_heart:
124,YASSS Its time for a great show AI ᎯᎥᏦᎶᎡ,:raising_hands:
5,we cannot afford İSJK  n AQ play havoc with our lives in Kashmir Yes these are the independent Kash …,:backhand_index_pointing_down:
45,Am I being patient or am I wasting my time amp will I find out when its too late  Thats the real question,:loudly_crying_face:
85,someone tell to stop judging me,:face_with_tears_of_joy:
125,I seriously hate going to the gym by myself I wish I had someone I can take with me,:weary_face:
6,ranks 6th in January Idol Group Brand Reputation  1Keep using 2Search GOT 7 on Naver  htt …,:party_popper:
6,ranks 6th in January Idol Group Brand Reputation  1Keep using 2Search GOT 7 on Naver  htt …,:backhand_index_pointing_down:
46,Sudden Shower has stayed No1 on Genie for 160 hours  🏼  🏼,:clapping_hands:
46,Sudden Shower has stayed No1 on Genie for 160 hours  🏼  🏼,:clapping_hands:
86,Same here just been to shop myself and theres was loads of empty shelves,:face_with_tears_of_joy:
126,Fairgame if she choose then she gone choose  but dont choose up then try to keep yo man  thats cheatin,:hundred_points:
126,Fairgame if she choose then she gone choose  but dont choose up then try to keep yo man  thats cheatin,:face_with_tears_of_joy:
7,Ok people are really trying to kill themselves with this Tide Pod challenge Who tf and why tf  🏽 ‍  ️ we had the Cinnamon Ch …,:person_facepalming:
7,Ok people are really trying to kill themselves with this Tide Pod challenge Who tf and why tf  🏽 ‍  ️ we had the Cinnamon Ch …,:female_sign:
47,Its freezing not only do my Uber driver has no heat on she has the windows cracked  🏽 ‍  ️  🏽 ‍  ️ its freezing outside what …,:person_facepalming:
47,Its freezing not only do my Uber driver has no heat on she has the windows cracked  🏽 ‍  ️  🏽 ‍  ️ its freezing outside what …,:female_sign:
47,Its freezing not only do my Uber driver has no heat on she has the windows cracked  🏽 ‍  ️  🏽 ‍  ️ its freezing outside what …,:person_shrugging:
47,Its freezing not only do my Uber driver has no heat on she has the windows cracked  🏽 ‍  ️  🏽 ‍  ️ its freezing outside what …,:female_sign:
87,remix of The Underground added to Top 100 playlist Check it here,:right_arrow:
127,So someone said Maleek Berry can never be as good a vocalist as Wande Coal so lets settle this once and for all  RT for …,:beaming_face_with_smiling_eyes:
8,Cant wait to meet my everything right after meeting my boyfriend,:smiling_face_with_heart-eyes:
48,Let me drop this one in case you have a bad day,:face_with_tears_of_joy:
88,Its my babys birthday  ️,:heart_suit:
128,Girl when i saw that message i was like,:face_with_tears_of_joy:
9,Congratulations Mo has been named the Players Player of the Year  htt …,:clapping_hands:
49,WIN FOLLOWERS ️  ️ ️ ️  ️ Retweet and Like This only to  GAIN FOLLOWERS,:heart_suit:
49,WIN FOLLOWERS ️  ️ ️ ️  ️ Retweet and Like This only to  GAIN FOLLOWERS,:heavy_check_mark:
49,WIN FOLLOWERS ️  ️ ️ ️  ️ Retweet and Like This only to  GAIN FOLLOWERS,:hundred_points:
