id,text,emoji
0,No object is so beautiful that under certain conditions it will not look ugly Oscar Wilde ↺ RT  …,:red_heart:
1,Cant expect different results doing the same thingdoing stuff different from now on  🏻 ‍  ️,:person_shrugging:	:female_sign:
2,“ Lets go Marcus ” “ Shiiit where we goin Home ” Marcus Peters,:face_with_tears_of_joy:
3,Asahd really is a grown man in the body of a 1 year old,:face_with_tears_of_joy:
4,Yoongi Tweet Hello Im Min fell on Butt What the  Min,:face_with_tears_of_joy:
5,we cannot afford İSJK  n AQ play havoc with our lives in Kashmir Yes these are the independent Kash …,:backhand_index_pointing_down:
6,ranks 6th in January Idol Group Brand Reputation  1Keep using 2Search GOT 7 on Naver  htt …,:party_popper:	:backhand_index_pointing_down:
7,Ok people are really trying to kill themselves with this Tide Pod challenge Who tf and why tf  🏽 ‍  ️ we had the Cinnamon Ch …,:person_facepalming:	:female_sign:
8,Cant wait to meet my everything right after meeting my boyfriend,:smiling_face_with_heart-eyes:
9,Congratulations Mo has been named the Players Player of the Year  htt …,:clapping_hands:
